MetricDate,QueryCount,AvgLatencyMs,AvgCPUms,AvgLogicalReads
2025-07-03 19:30:00,3221,3815.7534927041293,340.3918037876436,12.580875504501707
2025-07-03 19:35:00,1891,23165.563722897936,325.3051295610788,8.487572712850344
2025-07-03 19:40:00,1259,61137.35345512311,425.2057188244639,19.3868149324861
2025-07-03 19:45:00,889,61507.30708661417,868.1214848143982,111.94150731158605
2025-07-03 19:50:00,790,108761.68987341772,539.5113924050632,20.732911392405065
2025-07-03 19:55:00,805,42280.387577639754,587.0509316770186,26.00745341614907
2025-07-03 20:00:00,678,96924.67994100295,714.5221238938053,23.41592920353982
2025-07-03 20:05:00,562,128521.24733096086,580.9946619217081,15.13167259786477
2025-07-03 20:10:00,769,195606.6267880364,416.47204161248374,9.23927178153446
2025-07-03 20:15:00,707,153508.14710042434,636.0,22.25035360678925
2025-07-03 20:20:00,648,37737.41203703704,326.9058641975309,9.189814814814815
2025-07-03 20:25:00,660,65252.13787878788,348.1136363636364,9.16060606060606
2025-07-03 20:30:00,479,210871.24008350732,365.4488517745303,9.709812108559499
2025-07-03 20:35:00,331,333873.3474320242,857.7794561933534,37.02114803625378
2025-07-03 20:40:00,8,14839.625,11228.875,743.625
2025-07-03 20:45:00,37,40492.56756756757,31808.62162162162,7868.756756756757
2025-07-03 20:55:00,2,623417.0,458758.5,94325.5
2025-07-04 01:55:00,8,253993.375,12082.5,750.625
2025-07-04 02:15:00,80,859.775,790.4750000000001,57.5
